Renolt,295000000,37.56,0.02
Hendaji,1732954545,176.00,1.19
Toyoda,16314016360,17.75,2.32
Marcedes-Benc,919890664,95.12,1.63
DMW,650250000,97.78,2.20
Fort,3966623876,15.58,0.01
Volgswagon,564000000,215.07,2.58
Dazelle,1691622103,5.61,1.20
Packcar,347220000,86.89,1.57
Tutu Motors,45034804105,6.43,0.03
Coco-Cola,4316648127,53.94,3.11
Pineapple,16513135448,146.55,0.60
Mycrosoft,7517328907,307.29,0.81
Tasla,990012757,870.11,0.01
Fazebok,2819436989,335.34,0.01
Naek,1582826318,159.43,0.69
Bojieng,586136971,216.98,0.00
Caterpiler,547482086,198.18,2.24
WallsMart,2788466967,141.68,1.55
XonMobyll,4233535805,62.56,5.56
Amason,507726141,3446.74,0.02
Imtel,4056912061,54.47,2.55
AD&D,7140150019,25.33,8.21
Phillipo Mores,1558542842,97.45,5.13
BebsiCo,1382630147,158.09,2.72
3N,578637464,181.72,3.26
Netflexx,442591344,637.97,0.01
McDollan's,746800957,242.26,2.28
Bokeeng,41061016,2502.13,0.06
FeedX,265637336,227.98,1.32
Biogeogen,148975164,267.36,0.14
CWZ Health,1319693396,84.80,2.36
CUALLCOM,1128019323,132.48,2.05
BayBall,1175028569,271.27,0.08
Texas Equipment,923108012,197.94,2.32
Addott Laboratories,1772856664,119.44,1.51
MVIDEA,2499977557,222.79,0.07
UnightedHealth,942919092,424.31,1.37
Viza,2126810662,233.34,0.55
Meistercard,986788645,361.81,0.49
Captain Motors,1452163207,56.86,0.09
Schlumburger MV,1398546511,34.40,1.45
Lockheat Martin,276903951,370.02,3.03
American Xpress,794268919,176.93,0.97
Striker,377125536,270.52,0.93
eBuy,649973219,74.68,0.96
Valera Energy,408835642,80.13,4.89
Bakster International,499937130,79.53,1.41
Electronical Art,284605812,136.61,0.50
Callgade-Palmalive,843394458,74.71,2.41